simulation, day, sickPercentage, border_red_cnt, border_green_cnt, total_nodecnt=45,Psick= 0.5,Edgecnt= 52
10,18,0.8,0,0
11,0,0.02222222,1,2
11,1,0.06666667,2,3
11,2,0.08888889,3,5
11,3,0.1333333,4,5
11,4,0.2,3,5
11,5,0.2666667,5,6
11,6,0.4222222,4,9
11,7,0.5111111,4,8
11,8,0.6444445,7,4
11,9,0.7777778,1,0
11,10,0.7777778,1,0
11,11,0.8,0,0
11,12,0.8,0,0
11,13,0.8,0,0
11,14,0.8,0,0
11,15,0.8,0,0
11,16,0.8,0,0
11,17,0.8,0,0
11,18,0.8,0,0
12,0,0.02222222,1,2
12,1,0.04444445,2,3
12,2,0.08888889,3,5
12,3,0.1111111,4,4
12,4,0.1555556,5,5
12,5,0.2666667,6,5
12,6,0.4,3,8
12,7,0.5333334,4,7
12,8,0.6222222,4,5
12,9,0.7555556,1,1
12,10,0.7555556,1,1
12,11,0.7555556,1,1
12,12,0.7777778,1,0
12,13,0.7777778,1,0
12,14,0.8,0,0
12,15,0.8,0,0
12,16,0.8,0,0
12,17,0.8,0,0
12,18,0.8,0,0
13,0,0.02222222,1,2
13,1,0.02222222,1,2
13,2,0.04444445,2,2
13,3,0.06666667,2,3
13,4,0.1111111,3,5
13,5,0.1777778,4,6
13,6,0.2888889,4,6
13,7,0.3777778,5,6
13,8,0.5111111,4,7
13,9,0.6,3,5
13,10,0.6888889,4,4
13,11,0.7111111,4,2
13,12,0.7777778,1,0
13,13,0.7777778,1,0
13,14,0.7777778,1,0
13,15,0.7777778,1,0
13,16,0.8,0,0
13,17,0.8,0,0
13,18,0.8,0,0
14,0,0.02222222,1,2
14,1,0.02222222,1,2
14,2,0.04444445,2,2
14,3,0.06666667,2,3
14,4,0.06666667,2,3
14,5,0.1333333,2,6
14,6,0.1777778,4,8
14,7,0.2666667,4,6
14,8,0.3333333,6,8
14,9,0.4888889,5,6
14,10,0.5777778,4,4
14,11,0.6222222,5,2
14,12,0.6888889,4,0
14,13,0.7777778,1,0
14,14,0.7777778,1,0
14,15,0.8,0,0
14,16,0.8,0,0
14,17,0.8,0,0
14,18,0.8,0,0
15,0,0.02222222,1,2
15,1,0.04444445,2,2
15,2,0.08888889,2,4
15,3,0.1555556,3,5
15,4,0.2,4,6
15,5,0.2888889,6,7
15,6,0.3777778,5,6
15,7,0.4888889,5,9
15,8,0.6444445,4,4
15,9,0.7333333,4,0
15,10,0.7777778,0,0
